Jersey : LEAGUE = NBA, SIZE = XL, TEAM = cavaliers, MATERIAL = polyester, PRICE = 200.0;
Jersey : LEAGUE = NBA, SIZE = L, TEAM = warriors, MATERIAL = polyester, PRICE = 200.0;
Jersey : LEAGUE = NBA, SIZE = S, TEAM = celtics, MATERIAL = polyester, PRICE = 150.0;
Jersey : LEAGUE = NFL, SIZE = XL, TEAM = jaguars, MATERIAL = polyester, PRICE = 100.0;
Jersey : LEAGUE = NFL, SIZE = L, TEAM = patriots, MATERIAL = polyester, PRICE = 200.0;
Jersey : LEAGUE = NFL, SIZE = S, TEAM = falcons, MATERIAL = polyester, PRICE = 100.0;
Jersey : LEAGUE = NHL, SIZE = XL, TEAM = capitals, MATERIAL = polyester, PRICE = 180.0;
Jersey : LEAGUE = NHL, SIZE = L, TEAM = senators, MATERIAL = polyester, PRICE = 100.0;
Jersey : LEAGUE = MLB, SIZE = XL, TEAM = yankees, MATERIAL = polyester, PRICE = 200.0;
Jersey : LEAGUE = MLB, SIZE = L, TEAM = tigers, MATERIAL = polyester, PRICE = 100.0;
Jersey : LEAGUE = MLB, SIZE = S, TEAM = indians, MATERIAL = polyester, PRICE = 120.0;
