Ball : TYPE=basketball, SIZE=7, COLOR=green, MATERIAL=synthetics, PRICE=50.0;
Ball : TYPE=basketball, SIZE=6, COLOR=orange, MATERIAL=rubber, PRICE=30.0;
Ball : TYPE=football, SIZE=6, COLOR=white, MATERIAL=synthetics, PRICE=60.0;
Ball : TYPE=tennis, SIZE=2, COLOR=yellow, MATERIAL=felt, PRICE=20.0;

Shoes : TYPE=basketball, SIZE=43.0, COLOR=green, MATERIAL=synthetics, PRICE=150.0;
Shoes : TYPE=basketball, SIZE=41.0, COLOR=blue, MATERIAL=synthetics, PRICE=110.0;
Shoes : TYPE=basketball, SIZE=42.0, COLOR=purple, MATERIAL=leather, PRICE=120.0;
Shoes : TYPE=football, SIZE=43.0, COLOR=red, MATERIAL=synthetics, PRICE=90.0;
Shoes : TYPE=football, SIZE=42.0, COLOR=white, MATERIAL=leather, PRICE=85.0;
Shoes : TYPE=football, SIZE=41.0, COLOR=rose, MATERIAL=synthetics, PRICE=105.0;
Shoes : TYPE=volleyball, SIZE=43.0, COLOR=yellow, MATERIAL=leather, PRICE=80.0;
Shoes : TYPE=volleyball, SIZE=42.0, COLOR=black, MATERIAL=synthetics, PRICE=75.0;
Shoes : TYPE=volleyball, SIZE=41.0, COLOR=black, MATERIAL=synthetics, PRICE=90.0;
Shoes : TYPE=running, SIZE=43.0, COLOR=green, MATERIAL=synthetics, PRICE=100.0;
Shoes : TYPE=running, SIZE=42.0, COLOR=red, MATERIAL=leather, PRICE=190.0;
Shoes : TYPE=basketball, SIZE=42.0, COLOR=red, MATERIAL=leather, PRICE=100.0;

Jersey : LEAGUE=NBA, SIZE=XL, TEAM=cavaliers, MATERIAL=polyester, PRICE=200.0;
Jersey : LEAGUE=NBA, SIZE=L, TEAM=warriors, MATERIAL=polyester, PRICE=200.0;
Jersey : LEAGUE=NBA, SIZE=S, TEAM=celtics, MATERIAL=polyester, PRICE=150.0;
Jersey : LEAGUE=NFL, SIZE=XL, TEAM=jaguars, MATERIAL=polyester, PRICE=100.0;
Jersey : LEAGUE=NFL, SIZE=L, TEAM=patriots, MATERIAL=polyester, PRICE=200.0;
Jersey : LEAGUE=NFL, SIZE=S, TEAM=falcons, MATERIAL=polyester, PRICE=100.0;
Jersey : LEAGUE=NHL, SIZE=XL, TEAM=capitals, MATERIAL=polyester, PRICE=180.0;
Jersey : LEAGUE=NHL, SIZE=L, TEAM=senators, MATERIAL=polyester, PRICE=100.0;
Jersey : LEAGUE=MLB, SIZE=XL, TEAM=yankees, MATERIAL=polyester, PRICE=200.0;
Jersey : LEAGUE=MLB, SIZE=L, TEAM=tigers, MATERIAL=polyester, PRICE=100.0;
Jersey : LEAGUE=MLB, SIZE=S, TEAM=indians, MATERIAL=polyester, PRICE=120.0;
Jersey : LEAGUE=NHL, SIZE=S, TEAM=kings, MATERIAL=polyester, PRICE=100.0;
